id_cc,hora,ins_promedio,p10,p50,p90
8,10,49.08378340950007,1.0,4.0,169.0
8,11,57.39132197891322,1.0,5.0,176.0
8,12,60.565590380978115,1.0,5.0,179.0
8,13,60.734765136043215,1.0,5.0,181.0
8,14,62.32078223400729,1.0,5.0,181.0
8,15,66.43734931908516,1.0,5.0,187.0
8,16,69.18368008296066,1.0,6.0,188.0
8,17,68.19643205937886,1.0,5.0,188.0
8,18,66.64402794572081,1.0,5.0,178.5
8,19,55.09517550641719,1.0,4.0,138.0
8,20,32.096627682525266,1.0,3.0,89.0
8,21,15.31535756154748,0.0,2.0,47.0
8,22,5.3553907586993725,0.0,2.0,14.0
8,23,1.9022931206380858,0.0,1.0,4.0
