id_cc,acceso_id,share
1,CC1_1,0.19996932044225366
1,CC1_10,0.021074491468779825
1,CC1_11,0.06619031449687311
1,CC1_12,0.06730098592102655
1,CC1_13,0.0697624939142768
1,CC1_14,0.06375614838166256
1,CC1_15,0.038153681799410866
1,CC1_16,0.0005135839253404156
1,CC1_2,0.037309408943725364
1,CC1_3,0.029631575583111736
1,CC1_4,0.13891533784523585
1,CC1_5,0.022995073658649955
1,CC1_6,0.04002610779867954
1,CC1_7,0.060540398671677376
1,CC1_8,0.0631076409095091
1,CC1_9,0.08075343623978729
2,CC2_1,0.1906865066745628
2,CC2_10,0.08783115464048526
2,CC2_2,0.16209454646536597
2,CC2_3,0.08769342576694882
2,CC2_4,0.05268662367276492
2,CC2_5,0.09005882055237084
2,CC2_6,0.062298185445171864
2,CC2_7,0.09173825672510953
2,CC2_8,0.022322400883680538
2,CC2_9,0.15259007917353948
3,CC3_1,0.0655398292781489
3,CC3_2,0.1695259286394921
3,CC3_3,0.04546643470427289
3,CC3_4,0.31833037441115547
3,CC3_5,0.03973745772162279
3,CC3_6,0.055020272952552955
3,CC3_7,0.19753151531263013
3,CC3_8,0.10884818698012474
4,CC4_1,0.20311152932785756
4,CC4_2,0.12501567496394758
4,CC4_3,0.16638900753965766
4,CC4_4,0.218690116739294
4,CC4_5,0.21536371794469872
4,CC4_6,0.014789206023888645
4,CC4_7,0.05664074746065584
5,CC5_1,0.07366783655810928
5,CC5_10,0.0170446160210762
5,CC5_11,0.012959141202783558
5,CC5_2,0.09534112618701257
5,CC5_3,0.3651026786032175
5,CC5_4,0.27747440277802793
5,CC5_5,0.041393618695253404
5,CC5_6,0.060042908585528784
5,CC5_7,0.011298758217269184
5,CC5_8,0.019095451497255802
5,CC5_9,0.02657946165446581
6,CC6_1,0.30738263388962334
6,CC6_2,0.21267301610061565
6,CC6_3,0.0030879253375548786
6,CC6_4,0.26145782822619046
6,CC6_5,0.2153985964460157
7,CC7_1,0.05043044655240787
7,CC7_10,0.22356737942733684
7,CC7_2,0.032291316912657034
7,CC7_3,0.2052106000489571
7,CC7_4,0.1543352832858287
7,CC7_5,0.09314282844674202
7,CC7_6,0.060861870445597585
7,CC7_7,0.08519044971412783
7,CC7_8,0.06907153301306282
7,CC7_9,0.025898292153282165
8,CC8_1,0.087199427934333
8,CC8_10,0.11269615280213122
8,CC8_2,0.30078976486276715
8,CC8_3,0.042912459607104686
8,CC8_4,0.013146439528146286
8,CC8_5,0.01960156727347178
8,CC8_6,0.041960992563668725
8,CC8_7,0.2749346952643242
8,CC8_8,0.0584761940353836
8,CC8_9,0.048282306128669364
